current_date,sale_id,product_id,name,price
2026-08-18,1,P005,Mobile Phone Case,15
2026-08-18,2,P001,Wireless Headphones,100
2026-08-18,3,P001,Wireless Headphones,100
2026-08-18,4,P006,Wireless Mouse,30
2026-08-18,5,P006,Wireless Mouse,30
2026-08-18,6,P003,Bluetooth Speaker,50
2026-08-18,7,P004,USB Flash Drive,20
2026-08-18,8,P007,Laptop Stand,40
2026-08-18,9,P005,Mobile Phone Case,15
2026-08-18,10,P006,Wireless Mouse,30
2026-08-18,11,P004,USB Flash Drive,20
2026-08-18,12,P006,Wireless Mouse,30
2026-08-18,13,P007,Laptop Stand,40
2026-08-18,14,P004,USB Flash Drive,20
2026-08-18,15,P005,Mobile Phone Case,15
2026-08-18,16,P010,External Hard Drive,100
2026-08-18,17,P010,External Hard Drive,100
2026-08-18,18,P004,USB Flash Drive,20
2026-08-18,19,P009,Smartphone,600
2026-08-18,20,P001,Wireless Headphones,100
2026-08-18,21,P008,HDMI Cable,15
2026-08-18,22,P007,Laptop Stand,40
2026-08-18,23,P007,Laptop Stand,40
2026-08-18,24,P003,Bluetooth Speaker,50
2026-08-18,25,P007,Laptop Stand,40
2026-08-18,26,P003,Bluetooth Speaker,50
2026-08-18,27,P002,Laptop Backpack,60
2026-08-18,28,P001,Wireless Headphones,100
2026-08-18,29,P004,USB Flash Drive,20
2026-08-18,30,P006,Wireless Mouse,30
2026-08-18,31,P002,Laptop Backpack,60
2026-08-18,32,P003,Bluetooth Speaker,50
2026-08-18,33,P008,HDMI Cable,15
2026-08-18,34,P004,USB Flash Drive,20
2026-08-18,35,P009,Smartphone,600
2026-08-18,36,P001,Wireless Headphones,100
2026-08-18,37,P003,Bluetooth Speaker,50
2026-08-18,38,P006,Wireless Mouse,30
2026-08-18,39,P008,HDMI Cable,15
2026-08-18,40,P004,USB Flash Drive,20
2026-08-18,41,P009,Smartphone,600
2026-08-18,42,P008,HDMI Cable,15
2026-08-18,43,P006,Wireless Mouse,30
2026-08-18,44,P005,Mobile Phone Case,15
2026-08-18,45,P005,Mobile Phone Case,15
2026-08-18,46,P001,Wireless Headphones,100
2026-08-18,47,P002,Laptop Backpack,60
2026-08-18,48,P005,Mobile Phone Case,15
2026-08-18,49,P002,Laptop Backpack,60
2026-08-18,50,P009,Smartphone,600
2026-08-18,51,P002,Laptop Backpack,60
2026-08-18,52,P001,Wireless Headphones,100
2026-08-18,53,P006,Wireless Mouse,30
2026-08-18,54,P008,HDMI Cable,15
2026-08-18,55,P006,Wireless Mouse,30
2026-08-18,56,P010,External Hard Drive,100
2026-08-18,57,P002,Laptop Backpack,60
2026-08-18,58,P008,HDMI Cable,15
2026-08-18,59,P002,Laptop Backpack,60
2026-08-18,60,P001,Wireless Headphones,100
2026-08-18,61,P008,HDMI Cable,15
2026-08-18,62,P008,HDMI Cable,15
2026-08-18,63,P006,Wireless Mouse,30
2026-08-18,64,P006,Wireless Mouse,30
2026-08-18,65,P002,Laptop Backpack,60
2026-08-18,66,P004,USB Flash Drive,20
2026-08-18,67,P005,Mobile Phone Case,15
2026-08-18,68,P001,Wireless Headphones,100
2026-08-18,69,P010,External Hard Drive,100
2026-08-18,70,P001,Wireless Headphones,100
2026-08-18,71,P003,Bluetooth Speaker,50
2026-08-18,72,P001,Wireless Headphones,100
2026-08-18,73,P003,Bluetooth Speaker,50
2026-08-18,74,P010,External Hard Drive,100
2026-08-18,75,P008,HDMI Cable,15
2026-08-18,76,P004,USB Flash Drive,20
2026-08-18,77,P006,Wireless Mouse,30
2026-08-18,78,P005,Mobile Phone Case,15
2026-08-18,79,P001,Wireless Headphones,100
2026-08-18,80,P009,Smartphone,600
2026-08-18,81,P009,Smartphone,600
2026-08-18,82,P010,External Hard Drive,100
2026-08-18,83,P008,HDMI Cable,15
2026-08-18,84,P006,Wireless Mouse,30
2026-08-18,85,P004,USB Flash Drive,20
2026-08-18,86,P002,Laptop Backpack,60
2026-08-18,87,P001,Wireless Headphones,100
2026-08-18,88,P003,Bluetooth Speaker,50
2026-08-18,89,P003,Bluetooth Speaker,50
2026-08-18,90,P001,Wireless Headphones,100
2026-08-18,91,P004,USB Flash Drive,20
2026-08-18,92,P005,Mobile Phone Case,15
2026-08-18,93,P010,External Hard Drive,100
2026-08-18,94,P001,Wireless Headphones,100
2026-08-18,95,P006,Wireless Mouse,30
2026-08-18,96,P006,Wireless Mouse,30
2026-08-18,97,P002,Laptop Backpack,60
2026-08-18,98,P002,Laptop Backpack,60
2026-08-18,99,P010,External Hard Drive,100
2026-08-18,100,P004,USB Flash Drive,20
2026-08-18,101,P005,Mobile Phone Case,15
2026-08-18,102,P010,External Hard Drive,100
2026-08-18,103,P001,Wireless Headphones,100
2026-08-18,104,P008,HDMI Cable,15
2026-08-18,105,P003,Bluetooth Speaker,50
2026-08-18,106,P008,HDMI Cable,15
2026-08-18,107,P001,Wireless Headphones,100
2026-08-18,108,P001,Wireless Headphones,100
2026-08-18,109,P004,USB Flash Drive,20
2026-08-18,110,P001,Wireless Headphones,100
2026-08-18,111,P003,Bluetooth Speaker,50
2026-08-18,112,P004,USB Flash Drive,20
2026-08-18,113,P004,USB Flash Drive,20
2026-08-18,114,P003,Bluetooth Speaker,50
2026-08-18,115,P003,Bluetooth Speaker,50
2026-08-18,116,P004,USB Flash Drive,20
2026-08-18,117,P008,HDMI Cable,15
2026-08-18,118,P008,HDMI Cable,15
2026-08-18,119,P009,Smartphone,600
2026-08-18,120,P001,Wireless Headphones,100
2026-08-18,121,P006,Wireless Mouse,30
2026-08-18,122,P001,Wireless Headphones,100
2026-08-18,123,P009,Smartphone,600
2026-08-18,124,P008,HDMI Cable,15
2026-08-18,125,P010,External Hard Drive,100
2026-08-18,126,P001,Wireless Headphones,100
2026-08-18,127,P007,Laptop Stand,40
2026-08-18,128,P001,Wireless Headphones,100
2026-08-18,129,P002,Laptop Backpack,60
2026-08-18,130,P009,Smartphone,600
2026-08-18,131,P007,Laptop Stand,40
2026-08-18,132,P003,Bluetooth Speaker,50
2026-08-18,133,P001,Wireless Headphones,100
2026-08-18,134,P005,Mobile Phone Case,15
2026-08-18,135,P006,Wireless Mouse,30
2026-08-18,136,P006,Wireless Mouse,30
2026-08-18,137,P003,Bluetooth Speaker,50
2026-08-18,138,P006,Wireless Mouse,30
2026-08-18,139,P002,Laptop Backpack,60
2026-08-18,140,P001,Wireless Headphones,100
2026-08-18,141,P010,External Hard Drive,100
2026-08-18,142,P010,External Hard Drive,100
2026-08-18,143,P003,Bluetooth Speaker,50
2026-08-18,144,P003,Bluetooth Speaker,50
2026-08-18,145,P010,External Hard Drive,100
2026-08-18,146,P001,Wireless Headphones,100
2026-08-18,147,P004,USB Flash Drive,20
2026-08-18,148,P002,Laptop Backpack,60
2026-08-18,149,P008,HDMI Cable,15
2026-08-18,150,P001,Wireless Headphones,100
2026-08-18,151,P001,Wireless Headphones,100
2026-08-18,152,P001,Wireless Headphones,100
2026-08-18,153,P003,Bluetooth Speaker,50
2026-08-18,154,P001,Wireless Headphones,100
2026-08-18,155,P006,Wireless Mouse,30
2026-08-18,156,P010,External Hard Drive,100
2026-08-18,157,P008,HDMI Cable,15
2026-08-18,158,P002,Laptop Backpack,60
2026-08-18,159,P008,HDMI Cable,15
2026-08-18,160,P003,Bluetooth Speaker,50
2026-08-18,161,P008,HDMI Cable,15
2026-08-18,162,P005,Mobile Phone Case,15
2026-08-18,163,P004,USB Flash Drive,20
2026-08-18,164,P003,Bluetooth Speaker,50
2026-08-18,165,P005,Mobile Phone Case,15
2026-08-18,166,P007,Laptop Stand,40
2026-08-18,167,P010,External Hard Drive,100
2026-08-18,168,P004,USB Flash Drive,20
2026-08-18,169,P006,Wireless Mouse,30
2026-08-18,170,P008,HDMI Cable,15
2026-08-18,171,P006,Wireless Mouse,30
2026-08-18,172,P005,Mobile Phone Case,15
2026-08-18,173,P009,Smartphone,600
2026-08-18,174,P007,Laptop Stand,40
2026-08-18,175,P001,Wireless Headphones,100
2026-08-18,176,P008,HDMI Cable,15
2026-08-18,177,P009,Smartphone,600
2026-08-18,178,P001,Wireless Headphones,100
2026-08-18,179,P001,Wireless Headphones,100
2026-08-18,180,P003,Bluetooth Speaker,50
2026-08-18,181,P006,Wireless Mouse,30
2026-08-18,182,P006,Wireless Mouse,30
2026-08-18,183,P001,Wireless Headphones,100
2026-08-18,184,P004,USB Flash Drive,20
2026-08-18,185,P008,HDMI Cable,15
2026-08-18,186,P001,Wireless Headphones,100
2026-08-18,187,P007,Laptop Stand,40
2026-08-18,188,P004,USB Flash Drive,20
2026-08-18,189,P001,Wireless Headphones,100
2026-08-18,190,P001,Wireless Headphones,100
2026-08-18,191,P006,Wireless Mouse,30
2026-08-18,192,P009,Smartphone,600
2026-08-18,193,P004,USB Flash Drive,20
2026-08-18,194,P004,USB Flash Drive,20
2026-08-18,195,P008,HDMI Cable,15
2026-08-18,196,P002,Laptop Backpack,60
2026-08-18,197,P006,Wireless Mouse,30
2026-08-18,198,P008,HDMI Cable,15
2026-08-18,199,P006,Wireless Mouse,30
2026-08-18,200,P003,Bluetooth Speaker,50
2026-08-18,201,P001,Wireless Headphones,100
2026-08-18,202,P004,USB Flash Drive,20
2026-08-18,203,P004,USB Flash Drive,20
2026-08-18,204,P002,Laptop Backpack,60
2026-08-18,205,P006,Wireless Mouse,30
2026-08-18,206,P004,USB Flash Drive,20
2026-08-18,207,P001,Wireless Headphones,100
2026-08-18,208,P005,Mobile Phone Case,15
2026-08-18,209,P002,Laptop Backpack,60
2026-08-18,210,P006,Wireless Mouse,30
2026-08-18,211,P003,Bluetooth Speaker,50
2026-08-18,212,P001,Wireless Headphones,100
2026-08-18,213,P003,Bluetooth Speaker,50
2026-08-18,214,P003,Bluetooth Speaker,50
2026-08-18,215,P009,Smartphone,600
2026-08-18,216,P008,HDMI Cable,15
2026-08-18,217,P010,External Hard Drive,100
2026-08-18,218,P006,Wireless Mouse,30
2026-08-18,219,P005,Mobile Phone Case,15
2026-08-18,220,P010,External Hard Drive,100
2026-08-18,221,P002,Laptop Backpack,60
2026-08-18,222,P005,Mobile Phone Case,15
2026-08-18,223,P010,External Hard Drive,100
2026-08-18,224,P004,USB Flash Drive,20
2026-08-18,225,P002,Laptop Backpack,60
2026-08-18,226,P007,Laptop Stand,40
2026-08-18,227,P010,External Hard Drive,100
2026-08-18,228,P009,Smartphone,600
2026-08-18,229,P009,Smartphone,600
2026-08-18,230,P004,USB Flash Drive,20
2026-08-18,231,P008,HDMI Cable,15
2026-08-18,232,P004,USB Flash Drive,20
2026-08-18,233,P005,Mobile Phone Case,15
2026-08-18,234,P001,Wireless Headphones,100
2026-08-18,235,P007,Laptop Stand,40
2026-08-18,236,P006,Wireless Mouse,30
2026-08-18,237,P001,Wireless Headphones,100
2026-08-18,238,P001,Wireless Headphones,100
2026-08-18,239,P006,Wireless Mouse,30
2026-08-18,240,P003,Bluetooth Speaker,50
2026-08-18,241,P005,Mobile Phone Case,15
2026-08-18,242,P003,Bluetooth Speaker,50
2026-08-18,243,P006,Wireless Mouse,30
2026-08-18,244,P006,Wireless Mouse,30
2026-08-18,245,P003,Bluetooth Speaker,50
2026-08-18,246,P002,Laptop Backpack,60
2026-08-18,247,P006,Wireless Mouse,30
2026-08-18,248,P009,Smartphone,600
2026-08-18,249,P001,Wireless Headphones,100
2026-08-18,250,P004,USB Flash Drive,20
2026-08-18,251,P009,Smartphone,600
2026-08-18,252,P001,Wireless Headphones,100
2026-08-18,253,P008,HDMI Cable,15
2026-08-18,254,P008,HDMI Cable,15
2026-08-18,255,P002,Laptop Backpack,60
2026-08-18,256,P008,HDMI Cable,15
2026-08-18,257,P002,Laptop Backpack,60
2026-08-18,258,P008,HDMI Cable,15
2026-08-18,259,P003,Bluetooth Speaker,50
2026-08-18,260,P007,Laptop Stand,40
2026-08-18,261,P003,Bluetooth Speaker,50
2026-08-18,262,P001,Wireless Headphones,100
2026-08-18,263,P002,Laptop Backpack,60
2026-08-18,264,P008,HDMI Cable,15
2026-08-18,265,P010,External Hard Drive,100
2026-08-18,266,P008,HDMI Cable,15
2026-08-18,267,P003,Bluetooth Speaker,50
2026-08-18,268,P003,Bluetooth Speaker,50
2026-08-18,269,P001,Wireless Headphones,100
2026-08-18,270,P001,Wireless Headphones,100
2026-08-18,271,P001,Wireless Headphones,100
2026-08-18,272,P001,Wireless Headphones,100
2026-08-18,273,P006,Wireless Mouse,30
2026-08-18,274,P001,Wireless Headphones,100
2026-08-18,275,P003,Bluetooth Speaker,50
2026-08-18,276,P010,External Hard Drive,100
2026-08-18,277,P001,Wireless Headphones,100
2026-08-18,278,P004,USB Flash Drive,20
2026-08-18,279,P003,Bluetooth Speaker,50
2026-08-18,280,P004,USB Flash Drive,20
2026-08-18,281,P002,Laptop Backpack,60
2026-08-18,282,P003,Bluetooth Speaker,50
2026-08-18,283,P008,HDMI Cable,15
2026-08-18,284,P001,Wireless Headphones,100
2026-08-18,285,P004,USB Flash Drive,20
2026-08-18,286,P007,Laptop Stand,40
2026-08-18,287,P010,External Hard Drive,100
2026-08-18,288,P007,Laptop Stand,40
2026-08-18,289,P001,Wireless Headphones,100
